time_data,pc_data,lep_data,rep_data
2.36,-1.003,-1.01475843700779,-1.01496218308117
2.37,-1.003,-1.01502556323443,-1.01533852976735
2.38,-1.003,-1.01535381357471,-1.01561498605411
2.39,-1.003,-1.01572411270208,-1.01558051205124
2.4,-1.003,-1.01601863725739,-1.01532649384813
2.41,-1.003,-1.01617582468898,-1.01514485248411
2.42,-1.003,-1.01622560214226,-1.01525939708706
2.43,-1.003,-1.0162021462345,-1.01567402026557
2.44,-1.003,-1.01614694701444,-1.0161403313502
2.45,-1.003,-1.01617596403601,-1.01634398374433
2.46,-1.003,-1.01635402268592,-1.0161984622525
2.47,-1.003,-1.01656855567322,-1.01593344098064
2.48,-1.003,-1.01658924079557,-1.01589967334135
2.49,-1.003,-1.01632023282509,-1.01627428980168
2.5,-1.003,-1.01595784721503,-1.01692354772162
2.51,-1.003,-1.01577490151375,-1.01751564428193
2.52,-1.003,-1.01586518854226,-1.01783326616587
2.53,-1.003,-1.01610053284712,-1.01797640526668
2.54,-1.003,-1.01624775471782,-1.01824600142236
2.55,-1.003,-1.01615913478629,-1.018821574606
2.56,-1.003,-1.01591708364042,-1.01956247191598
2.57,-1.003,-1.01579175498478,-1.02015358209026
2.58,-1.003,-1.01598662208813,-1.02041138304892
2.59,-1.003,-1.01642417611218,-1.02046401884806
2.6,-1.003,-1.01680633472088,-1.02060509264083
2.61,-1.003,-1.01692245845837,-1.02094969927366
2.62,-1.003,-1.01681580713466,-1.0212926493261
2.63,-1.003,-1.01664666329769,-1.02134120281823
2.64,-1.003,-1.01652384721753,-1.02101703251435
2.65,-1.003,-1.01648644121548,-1.02048549011306
2.66,-1.003,-1.01655546157006,-1.01997754757759
2.67,-1.003,-1.01662537146779,-1.019629810949
2.68,-1.003,-1.01646999309366,-1.01942316322849
2.69,-1.003,-1.01606857066094,-1.01922361145743
2.7,-1.003,-1.01570453648528,-1.01889760276621
2.71,-1.003,-1.01564698771846,-1.01844117813333
2.72,-1.003,-1.01588191983372,-1.01794700143023
2.73,-1.003,-1.01617405604479,-1.01752833322015
2.74,-1.003,-1.01629151874697,-1.01728006216825
2.75,-1.003,-1.01616482526336,-1.01716269346852
2.76,-1.003,-1.01590805428789,-1.01700622533156
2.77,-1.003,-1.0157130791995,-1.01667727863057
2.78,-1.003,-1.01574711324202,-1.01624136183132
2.79,-1.003,-1.01602539278713,-1.015908940096
2.8,-1.003,-1.01632102127742,-1.01580725845963
2.81,-1.003,-1.01637129549458,-1.0158295360417
2.82,-1.003,-1.01616058526784,-1.01573896759184
2.83,-1.003,-1.01596226939047,-1.01545655563379
2.84,-1.003,-1.01613311656415,-1.0150876318109
2.85,-1.003,-1.01672619988642,-1.01479154191603
2.86,-1.003,-1.01733241593791,-1.01469759784634
2.87,-1.003,-1.01750418532079,-1.0148226353942
2.88,-1.003,-1.01726988737748,-1.01508605263442
2.89,-1.003,-1.01711040570969,-1.01534116138206
2.9,-1.003,-1.01743873807512,-1.01544711944222
2.91,-1.003,-1.01812158924657,-1.01536522574395
2.92,-1.003,-1.01862833376056,-1.01524995431545
2.93,-1.003,-1.01858502439649,-1.01536588016465
2.94,-1.003,-1.01812455420417,-1.01574017789186
2.95,-1.003,-1.01778333732617,-1.01608586701926
2.96,-1.003,-1.01795154184196,-1.01619739944285
2.97,-1.003,-1.01845137189334,-1.01612509662881
2.98,-1.003,-1.01874595392853,-1.01602681813293
2.99,-1.003,-1.01849950422645,-1.0160331199915
3,-1.003,-1.01794238573159,-1.01616516960933
3.01,-1.003,-1.01764329053122,-1.01635773926777
3.02,-1.003,-1.01788733291845,-1.01650823194337
3.03,-1.003,-1.01838696470543,-1.01653430743569
3.04,-1.003,-1.01862974284207,-1.01649077794724
3.05,-1.003,-1.01842620983143,-1.01655755705885
3.06,-1.003,-1.01809773783119,-1.01685135021276
3.07,-1.003,-1.01808531979144,-1.01733364732863
3.08,-1.003,-1.0184073472825,-1.01788097652371
3.09,-1.003,-1.01869184651843,-1.01840636202741
3.1,-1.003,-1.01860095331407,-1.0189198378867
3.11,-1.003,-1.01811154163076,-1.01948160738622
3.12,-1.003,-1.01752673616759,-1.02010195995768
